municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2020/05/17 09:00:00;61;51,12;1460;1223,63;079603
Madrid-Salamanca;2020/05/17 09:00:00;53;36,28;1628;1114,27;079604
Madrid-Centro;2020/05/17 09:00:00;33;24,47;1148;851,33;079601
Madrid-Arganzuela;2020/05/17 09:00:00;39;25,36;1564;1016,89;079602
Madrid-Chamartín;2020/05/17 09:00:00;32;21,94;1615;1107,31;079605
Madrid-Tetuán;2020/05/17 09:00:00;39;24,68;2104;1331,45;079606
Madrid-Chamberí;2020/05/17 09:00:00;54;38,74;1540;1104,9;079607
Madrid-Fuencarral-El Pardo;2020/05/17 09:00:00;77;31,31;2956;1201,92;079608
Madrid-Moncloa-Aravaca;2020/05/17 09:00:00;56;46,89;1410;1180,72;079609
Madrid-Latina;2020/05/17 09:00:00;82;34,42;2742;1151,05;079610
Madrid-Carabanchel;2020/05/17 09:00:00;88;34,77;2668;1054,13;079611
Madrid-Usera;2020/05/17 09:00:00;35;25,05;1379;986,83;079612
Madrid-Puente de Vallecas;2020/05/17 09:00:00;104;44,28;3031;1290,57;079613
Madrid-San Blas - Canillejas;2020/05/17 09:00:00;47;29,72;1450;916,9;079620
Madrid-Barajas;2020/05/17 09:00:00;6;12,26;422;862,19;079621
Madrid-Moratalaz;2020/05/17 09:00:00;45;47,58;1322;1397,91;079614
Madrid-Ciudad Lineal;2020/05/17 09:00:00;54;24,97;2183;1009,32;079615
Madrid-Hortaleza;2020/05/17 09:00:00;41;21,79;1728;918,24;079616
Madrid-Villaverde;2020/05/17 09:00:00;46;30,88;1409;945,98;079617
Madrid-Villa de Vallecas;2020/05/17 09:00:00;35;31,71;1208;1094,55;079618
Madrid-Vicálvaro;2020/05/17 09:00:00;51;70,74;814;1129,13;079619
Pozuelo de Alarcón;2020/05/17 09:00:00;40;46,28;793;917,59;1150  
Alcorcón;2020/05/17 09:00:00;59;34,6;1837;1077,33;0072  
Navalcarnero;2020/05/17 09:00:00;;13,65;173;590,48;0967  
San Agustín del Guadalix;2020/05/17 09:00:00;;14,95;62;463,41;1296  
Las Rozas de Madrid;2020/05/17 09:00:00;28;29,22;799;833,91;1277  
Moraleja de Enmedio;2020/05/17 09:00:00;;0;25;486,76;0894  
Valdaracete;2020/05/17 09:00:00;;164,2;6;985,22;1551  
Pozuelo del Rey;2020/05/17 09:00:00;;0;;174,37;1163  
Puebla de la Sierra;2020/05/17 09:00:00;;0;;0;1185  
Perales de Tajuña;2020/05/17 09:00:00;;68,14;10;340,72;1104  
Valdemorillo;2020/05/17 09:00:00;;31,95;50;399,42;1603  
Navalafuente;2020/05/17 09:00:00;;0;7;483,09;0941  
Velilla de San Antonio;2020/05/17 09:00:00;;24,52;73;596,6;1678  
Villanueva de la Cañada;2020/05/17 09:00:00;10;46,63;150;699,46;1760  
Villanueva del Pardillo;2020/05/17 09:00:00;;23,28;103;599,53;1776  
Nuevo Baztán;2020/05/17 09:00:00;;0;28;446,14;1006  
Villamantilla;2020/05/17 09:00:00;;0;7;485,77;1757  
Villamanta;2020/05/17 09:00:00;;0;12;469,67;1744  
Cabanillas de la Sierra;2020/05/17 09:00:00;;0;10;1322,75;0297  
Cenicientos;2020/05/17 09:00:00;;147,57;29;1426,46;0376  
Puentes Viejas;2020/05/17 09:00:00;;0;;294,55;9020  
Aranjuez;2020/05/17 09:00:00;6;10,07;448;751,59;0133  
Cercedilla;2020/05/17 09:00:00;8;113,86;118;1679,48;0382  
Santorcaz;2020/05/17 09:00:00;;0;7;790,07;1369  
